city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Isojoki,62.1139,21.9583,Finland,FI,Etelä-Pohjanmaa,minor,2123,2123
Hämeenkoski,61.0250,25.1500,Finland,FI,Päijät-Häme,minor,2104,2104
Miehikkälä,60.6708,27.7000,Finland,FI,Kymenlaakso,minor,2085,2085
Lumijoki,64.8367,25.1867,Finland,FI,Pohjois-Pohjanmaa,minor,2076,2076
Kihniö,62.2083,23.1792,Finland,FI,Pirkanmaa,minor,2038,2038
Marttila,60.5833,22.9000,Finland,FI,Varsinais-Suomi,minor,2028,2028
Lemland,60.0806,20.1000,Finland,FI,Åland,minor,1991,1991
Pukkila,60.6450,25.5833,Finland,FI,Uusimaa,minor,1971,1971
Myrskylä,60.6667,25.8500,Finland,FI,Uusimaa,minor,1969,1969
Tarvasjoki,60.5833,22.7333,Finland,FI,Varsinais-Suomi,minor,1958,1958
Jämijärvi,61.8167,22.6917,Finland,FI,Satakunta,minor,1948,1948
Lavia,61.5958,22.5861,Finland,FI,Satakunta,minor,1890,1890
Enontekiö,68.3847,23.6389,Finland,FI,Lappi,minor,1861,1861
Pulkkila,64.2667,25.8667,Finland,FI,Pohjois-Pohjanmaa,minor,1843,1843
Pertunmaa,61.5028,26.4792,Finland,FI,Etelä-Savo,minor,1817,1817
Honkajoki,61.9931,22.2639,Finland,FI,Satakunta,minor,1793,1793
Kinnula,63.3667,24.9667,Finland,FI,Keski-Suomi,minor,1745,1745
Rautavaara,63.4944,28.2986,Finland,FI,Pohjois-Savo,minor,1737,1737
Multia,62.4083,24.7950,Finland,FI,Keski-Suomi,minor,1710,1710
Taivassalo,60.5617,21.6083,Finland,FI,Varsinais-Suomi,minor,1633,1633
Tervo,62.9556,26.7556,Finland,FI,Pohjois-Savo,minor,1608,1608
Pyhäntä,64.0972,26.3306,Finland,FI,Pohjois-Pohjanmaa,minor,1587,1587
Hammarland,60.2167,19.7403,Finland,FI,Åland,minor,1537,1537
Siikainen,61.8833,21.8167,Finland,FI,Satakunta,minor,1527,1527
Enonkoski,62.0889,28.9333,Finland,FI,Etelä-Savo,minor,1473,1473
Kannonkoski,62.9750,25.2667,Finland,FI,Keski-Suomi,minor,1462,1462
Kyyjärvi,63.0431,24.5639,Finland,FI,Keski-Suomi,minor,1379,1379
Oripää,60.8556,22.6972,Finland,FI,Varsinais-Suomi,minor,1377,1377
Karijoki,62.3083,21.7083,Finland,FI,Etelä-Pohjanmaa,minor,1369,1369
Ristijärvi,64.5056,28.2139,Finland,FI,Kainuu,minor,1351,1351
Kaskinen,62.3847,21.2222,Finland,FI,Pohjanmaa,minor,1285,1285
Utsjoki,69.9078,27.0265,Finland,FI,Lappi,minor,1250,1250
Halsua,63.4633,24.1667,Finland,FI,Keski-Pohjanmaa,minor,1225,1225
Kivijärvi,63.1200,25.0750,Finland,FI,Keski-Suomi,minor,1200,1200
Merijärvi,64.2967,24.4467,Finland,FI,Pohjois-Pohjanmaa,minor,1134,1134
Savukoski,67.2917,28.1667,Finland,FI,Lappi,minor,1061,1061
Hailuoto,65.0167,24.7167,Finland,FI,Pohjois-Pohjanmaa,minor,993,993
Pelkosenniemi,67.1083,27.5167,Finland,FI,Lappi,minor,958,958
Eckerö,60.2167,19.5500,Finland,FI,Åland,minor,935,935
Kustavi,60.5467,21.3583,Finland,FI,Varsinais-Suomi,minor,895,895
Lestijärvi,63.5250,24.6653,Finland,FI,Keski-Pohjanmaa,minor,798,798
Luhanka,61.8000,25.7000,Finland,FI,Keski-Suomi,minor,761,761
Brändö,60.4117,21.0453,Finland,FI,Åland,minor,515,515
Geta,60.3750,19.8500,Finland,FI,Åland,minor,495,495
Vårdö,60.2417,20.3750,Finland,FI,Åland,minor,441,441
Lumparland,60.1167,20.2583,Finland,FI,Åland,minor,398,398
Kumlinge,60.2583,20.7783,Finland,FI,Åland,minor,317,317
Sottunga,60.1333,20.6667,Finland,FI,Åland,minor,92,92
Nummela,60.3333,24.3333,Finland,FI,Uusimaa,minor,,
Turenki,60.9167,24.6333,Finland,FI,Kanta-Häme,minor,,
Parola,61.0500,24.3667,Finland,FI,Kanta-Häme,minor,,
Oitti,60.7833,25.0333,Finland,FI,Kanta-Häme,minor,,
Godby,60.2300,19.9881,Finland,FI,Åland,minor,,
Järvelä,60.8680,25.2730,Finland,FI,Päijät-Häme,minor,,
Siltakylä,60.4958,26.7097,Finland,FI,Kymenlaakso,minor,,
Vääksy,61.1722,25.5472,Finland,FI,Päijät-Häme,minor,,
Ödkarby,60.3073,19.9862,Finland,FI,Åland,minor,,
Bennäs,63.6000,22.7917,Finland,FI,Pohjanmaa,minor,,
Kaustinen,63.5481,23.6999,Finland,FI,Keski-Pohjanmaa,minor,,
Kyrö,60.7000,22.7500,Finland,FI,Varsinais-Suomi,minor,,
Vinkkilä,60.6833,21.7167,Finland,FI,Varsinais-Suomi,minor,,
Kausala,60.8928,26.3394,Finland,FI,Kymenlaakso,minor,,
Simpele,61.4333,29.3670,Finland,FI,Etelä-Karjala,minor,,
Dalsbruk,60.0333,22.5167,Finland,FI,Varsinais-Suomi,minor,,
Björby,60.2572,20.1342,Finland,FI,Åland,minor,,
Korkeakoski,61.8000,24.3667,Finland,FI,Pirkanmaa,minor,,
Taavetti,60.9167,27.5667,Finland,FI,Etelä-Karjala,minor,,
Föglö,60.0000,20.4333,Finland,FI,Åland,minor,,
Pyhäsalmi,63.6833,25.9833,Finland,FI,Pohjois-Pohjanmaa,minor,,
Karlby,59.9167,20.9000,Finland,FI,Åland,minor,,
Polvijärvi,62.4167,28.3333,Finland,FI,Etelä-Savo,minor,,
Kolari,67.3317,23.7913,Finland,FI,Lappi,minor,,
Ivalo,68.6565,27.5404,Finland,FI,Lappi,minor,,
Åva,60.4667,21.0833,Finland,FI,Åland,minor,,
